source,year,subject,directory_scope,region,paper_family,track,pages,page_error,size_bytes,sha256,warnings,existing_record_ids,action,replacement_candidates
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山东）英语高考真题/2017年高考英语试卷（新课标Ⅰ卷）（空白卷）.pdf,2017,英语,SD,全国,全国1卷,,13,,205476,eb2717064cc448804c157652f55501537a8498d79933a3a2e97433708b05cd18,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山东）英语高考真题/2018年高考英语试卷（新课标Ⅰ卷）（空白卷）.pdf,2018,英语,SD,全国,全国1卷,,13,,189987,c69d8232702ea072c900e3ca7ac816832465cd307017415220d620e1a339d296,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山东）英语高考真题/2019年高考英语试卷（新课标Ⅰ卷）（空白卷）.pdf,2019,英语,SD,全国,全国1卷,,12,,165100,218b9e864b1f4e03283b9dd906f11b754fe94849772df7c38374b61c2c9cc088,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山东）英语高考真题/2020年高考英语试卷（新高考Ⅰ卷）（山东）（空白卷）.pdf,2020,英语,SD,全国,新高考1卷,,9,,169974,d8018b5246393c0a88d685b095f9454c659f336e42f296c7b4df6fa86b14ccd4,,,new_candidate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山东）英语高考真题/2021年高考英语试卷（新高考Ⅰ卷）（空白卷）.pdf,2021,英语,SD,全国,新高考1卷,,11,,166334,c3910dad0fd7a8c6aaee31b337793244bd216818b3a9cff26ab2e9b3b73979c8,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山东）英语高考真题/2022年高考英语试卷（新高考Ⅰ卷）（空白卷）.pdf,2022,英语,SD,全国,新高考1卷,,11,,193588,0ae301ec36b1bb41f61d5bdf947deb6d16f1abc47e8ca7040321e6d0de337d9e,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山东）英语高考真题/2023年高考英语试卷（新课标Ⅰ卷）（空白卷）.pdf,2023,英语,SD,全国,新课标1卷,,13,,159539,044b215a8875591f5172a22b7f1d52819d6b1e00d4c951074aa199c1619982f5,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山东）英语高考真题/2024年高考英语试卷（新课标Ⅰ卷）（空白卷）.pdf,2024,英语,SD,全国,新课标1卷,,12,,190546,41a0e1c61d5ae1ab404d96a057fb815c2103c321a740829fa2e2d8a976ca6382,,temp-2024-英语-e5777ae7fee5,same_identity_existing,temp-2024-英语-e5777ae7fee5
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山西）英语高考真题/2008年高考英语试卷（全国Ⅰ卷）（空白卷）.pdf,2008,英语,SX,全国,全国1卷,,15,,165217,311a0328043403ff9b949261f4caafe29d97ceed84b03a35fcad9515fadae997,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山西）英语高考真题/2009年高考英语试卷（全国Ⅰ卷）（空白卷）.pdf,2009,英语,SX,全国,全国1卷,,14,,174809,b711cd807b34decf20a6cafaea3e9f8aeff46330870b867326f5402119ffcad6,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山西）英语高考真题/2010年高考英语试卷（新课标Ⅰ卷）（空白卷）.pdf,2010,英语,SX,全国,全国1卷,,14,,194525,f111ac5bbf6728a088dd56b2d96cf5b8e4824d34e2b704dc133cac1c2605edae,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山西）英语高考真题/2011年高考英语试卷（新课标）（空白卷）.pdf,2011,英语,SX,全国,新课标卷（未分卷）,,14,,176298,3dada4a561611ba2a8b7cf2364623019a8b78064a069c8c6ce8fbc01a36ccd23,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山西）英语高考真题/2012年高考英语试卷（新课标）（空白卷）.pdf,2012,英语,SX,全国,新课标卷（未分卷）,,13,,188966,c514caf17c0296c3cc29c3bb21133ee7713b44053c72ea1c544eb689d146936b,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山西）英语高考真题/2013年高考英语试卷（新课标Ⅰ卷）（空白卷）.pdf,2013,英语,SX,全国,全国1卷,,13,,185858,91085a4ed9f0236a4c4d625e33361247f58cd47793b2ff311f80d7da12821536,,,temp_identity_duplicate,
